"","playerG","playerA","assists"
"289","Namestnikov ","Brown ",0
"290","Sergachev ","Brown ",0
"291","Killorn ","Brown ",0
"292","Palat ","Brown ",0
"293","Hedman ","Brown ",0
"294","Johnson ","Brown ",0
"295","Gourde ","Brown ",0
"296","Stralman ","Brown ",0
"297","Coburn ","Brown ",0
"298","Kunitz ","Brown ",1
"299","Koekkoek ","Brown ",0
"300","Callahan ","Brown ",1
"301","Brown ","Brown ",0
"302","Dotchin ","Brown ",0
"303","Girardi ","Brown ",0
"304","Paquette ","Brown ",0
"305","Stamkos ","Dotchin ",1
"306","Kucherov ","Dotchin ",0
"307","Point ","Dotchin ",0
"308","Namestnikov ","Dotchin ",1
"309","Sergachev ","Dotchin ",0
"310","Killorn ","Dotchin ",0
"311","Palat ","Dotchin ",0
"312","Hedman ","Dotchin ",0
"313","Johnson ","Dotchin ",0
"314","Gourde ","Dotchin ",0
"315","Stralman ","Dotchin ",0
"316","Coburn ","Dotchin ",0
"317","Kunitz ","Dotchin ",0
"318","Koekkoek ","Dotchin ",0
"319","Callahan ","Dotchin ",0
"320","Brown ","Dotchin ",0
"321","Dotchin ","Dotchin ",0
"322","Girardi ","Dotchin ",0
"323","Paquette ","Dotchin ",0
"324","Stamkos ","Girardi ",0
"325","Kucherov ","Girardi ",0
"326","Point ","Girardi ",1
"327","Namestnikov ","Girardi ",0
"328","Sergachev ","Girardi ",0
"329","Killorn ","Girardi ",0
"330","Palat ","Girardi ",0
"331","Hedman ","Girardi ",0
"332","Johnson ","Girardi ",0
"333","Gourde ","Girardi ",0
"334","Stralman ","Girardi ",0
"335","Coburn ","Girardi ",0
"336","Kunitz ","Girardi ",0
"337","Koekkoek ","Girardi ",0
"338","Callahan ","Girardi ",0
"339","Brown ","Girardi ",0
"340","Dotchin ","Girardi ",0
"341","Girardi ","Girardi ",0
"342","Paquette ","Girardi ",0
"343","Stamkos ","Paquette ",0
"344","Kucherov ","Paquette ",0
"345","Point ","Paquette ",0
"346","Namestnikov ","Paquette ",0
"347","Sergachev ","Paquette ",0
"348","Killorn ","Paquette ",0
"349","Palat ","Paquette ",0
"350","Hedman ","Paquette ",0
"351","Johnson ","Paquette ",0
"352","Gourde ","Paquette ",0
"353","Stralman ","Paquette ",0
"354","Coburn ","Paquette ",0
"355","Kunitz ","Paquette ",1
"356","Koekkoek ","Paquette ",0
"357","Callahan ","Paquette ",0
"358","Brown ","Paquette ",0
"359","Dotchin ","Paquette ",0
"360","Girardi ","Paquette ",0
"361","Paquette ","Paquette ",0
